Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Afghanistan,AFG,..,0.0331042943388248,0.0937831645363241,0.10017294666822,0.0905306257453222,0.0951023660487108,0.102889174048942,0.101420534924024,0.0804876356263116,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Albania,ALB,0.342888516185495,0.157128687949413,0.139102869861903,0.1258274443172,0.116108109345258,0.132167709064001,0.125000904796954,0.115009629353096,0.10440485836621,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Algeria,DZA,0.211427507302035,0.224057781016353,0.249942853181552,0.256189302248603,0.244018915952972,0.245154157114073,0.252239685677547,0.259179442145384,0.258395314253033,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Andorra,AND,0.154535879775699,0.145535630243975,0.10447173246629,0.103812062477047,0.100886901048346,0.0997535033000631,0.104378853346008,0.0992850099076394,0.104544196929634,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Angola,AGO,0.0763819304108926,0.166679245434538,0.106354216869381,0.112613103281359,0.107822482875654,0.0916825016122287,0.0876146565477027,0.0910171240026851,0.078383512254288,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Antigua and Barbuda,ATG,0.16413979034345,0.163253096420284,0.210014886013482,0.212930579733099,0.208842584953733,0.203658880633655,0.193655183983157,0.187979293601625,0.216069844826152,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Argentina,ARG,0.180023118191471,0.159474036751231,0.147988016521273,0.148825479939239,0.15002855787906,0.142815775839626,0.144713251057763,0.140378089838269,0.143178693875514,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Armenia,ARM,0.910265870194286,0.24090672704705,0.14351596625651,0.135624112025818,0.128344330988882,0.126567570934902,0.127947174866067,0.128972879382498,0.151339400910094,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Australia,AUS,0.431759621384475,0.40129083186884,0.295836451887872,0.294435534439087,0.293172969144253,0.288231657106591,0.27932281587209,0.272766400458005,0.262461998257716,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Austria,AUT,0.171777819573196,0.144822596296364,0.116400297041821,0.117459969280352,0.115974243348405,0.117277489527058,0.109743795366072,0.11051599545501,0.108538980618789,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Azerbaijan,AZE,0.702345223115938,0.617449449968747,0.163232888634096,0.159112346772732,0.166611406640705,0.164822334748873,0.166304809954589,0.176094314731419,0.177707451003768,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Bahamas, The",BHS,0.220815730257963,0.188857384296412,0.204451382076789,0.177399636965502,0.165595523135006,0.171308181564307,0.215004942701851,0.20449749625243,0.243710845796398,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bahrain,BHR,0.513054506711636,0.442266728777364,0.430115969241366,0.421039843120205,0.404353095992245,0.392254559248646,0.387615817813029,0.405500568425682,0.418846138138922,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bangladesh,BGD,0.0498738643707117,0.0566743426877939,0.0828222904944354,0.0857509591295146,0.0887800034897961,0.0899940189549694,0.0917834417104111,0.0821518107532734,0.073283136263539,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Barbados,BRB,0.259377711919832,0.272654905858561,0.280962193088625,0.271638536202801,0.26930014502475,0.244922610524072,0.265627655557378,0.243184578344002,0.261090979907572,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Belarus,BLR,0.792742352220839,0.474351864549599,0.236785338047487,0.227321249792686,0.234614764048835,0.233156096060487,0.23819154836569,0.228495773450598,0.218558948471059,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Belgium,BEL,0.259475742794518,0.223375496869617,0.138923891938736,0.143276437506414,0.140108948757334,0.13555652186297,0.134514842265871,0.130815710644826,0.126815477575653,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Belize,BLZ,0.226171957609269,0.156015100125555,0.113534007038179,0.153508002483491,0.148112569125172,0.148948787027115,0.144390504350788,0.161873285900204,0.175252391358761,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Benin,BEN,0.0283196196542538,0.0777767364358758,0.157389010169917,0.164166150864368,0.194449724390313,0.187759642078015,0.194599901460251,0.179020379374156,0.18402864843399,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bhutan,BTN,0.0929258382823348,0.124150196495801,0.119029556497417,0.114969702635375,0.125020813123596,0.128758501026946,0.138158054585987,0.128726178370005,0.103575632921456,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bolivia,BOL,0.28484883845212,0.153287477565157,0.20283297833201,0.198647122108702,0.203151319218745,0.197709664484662,0.191916577099222,0.187304984748475,0.172768029304903,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bosnia and Herzegovina,BIH,2.20132235518321,0.422594516413342,0.401041406626647,0.386861609683402,0.426781645379308,0.419585915737698,0.402748833477314,0.365630746756471,0.373829805611902,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Botswana,BWA,0.20436554105033,0.18237883361517,0.188694734068205,0.197203364195354,0.17547015518294,0.186540431305472,0.196705207911828,0.170475910723067,0.149554497671978,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Brazil,BRA,0.105031641240063,0.128702011762763,0.133293990751286,0.131097135237254,0.12485083318307,0.125593131470825,0.117476674621984,0.116188036606424,0.114543029010001,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Brunei Darussalam,BRN,0.134030402600706,0.15543206593846,0.203927459885725,0.184993033727136,0.206617851764322,0.21332213773162,0.220516465803116,0.198725050111129,0.266941404219093,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bulgaria,BGR,0.559763171382124,0.419568859441697,0.251410938275865,0.25761641479536,0.233382041804289,0.239698574900309,0.217522231549424,0.200198477083783,0.181733181352824,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Burkina Faso,BFA,0.0587080444619683,0.0617378880846926,0.0791349896711606,0.0965977031474107,0.0958660736829761,0.104432483934957,0.109029118519264,0.112942375213586,0.10699454227105,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Burundi,BDI,0.0240514106416362,0.0410775252062784,0.0345465640415438,0.0361456442172668,0.0438190069812344,0.0521929634689396,0.064549718472741,0.0674530659841126,0.0678096364164246,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cabo Verde,CPV,0.264812589172569,0.149570471412429,0.129343409513741,0.129047461120958,0.134394708619626,0.138441381184059,0.135775948391828,0.131758566684688,0.167289416199148,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cambodia,KHM,0.080131120568678,0.101671897321347,0.126107981114993,0.143103197120958,0.175622912118017,0.187782215075576,0.187086158459675,0.23325542837839,0.248152545968918,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cameroon,CMR,0.0566717234725568,0.091408835339091,0.0812689381796616,0.0795050689039433,0.0803009329408314,0.078429968822777,0.0810459424122486,0.0767784880900038,0.0795529325198087,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Canada,CAN,0.380025191875832,0.351549593916875,0.288874571884247,0.28546957069891,0.281588148697106,0.278843353490503,0.276843429245567,0.265297461094493,0.255123774114042,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Central African Republic,CAF,0.0347905887525858,0.0509242233111902,0.0281534294973163,0.0381571370608888,0.0407726757113,0.0420305101194163,0.0417159159305942,0.0415742561563249,0.0414134682795068,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Chad,TCD,0.0525086259626239,0.0546923072661537,0.0470056003856416,0.0455993498644902,0.048356614699741,0.0504679798973781,0.0515899323809691,0.0508079970755462,0.0511385425645616,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Chile,CHL,0.205375124075564,0.185519662075618,0.155759442413503,0.163830570948756,0.169315393504106,0.168268226757327,0.160780144191268,0.169609538114189,0.166776832845839,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,China,CHN,1.16344844475631,0.664419146887629,0.533326290739443,0.490200569510077,0.458855808649156,0.438984840304552,0.430710195605954,0.4140434340257,0.411820461409113,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Colombia,COL,0.149463793101513,0.137069285430087,0.102495685148578,0.100704262004188,0.101700075776493,0.090903662239404,0.0929423730206559,0.0898806559707259,0.096681576423275,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Comoros,COM,0.0489755225696624,0.0643092703840466,0.0711981173893041,0.0761232831816118,0.0863592927464746,0.106510580167938,0.111497028329732,0.118074033696005,0.119030742882154,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Congo, Dem. Rep.",COD,0.0398981682093592,0.0365053833294747,0.0534459115426921,0.03145055814447,0.0230123055600538,0.0260693919508087,0.0243660388412324,0.0251451788828293,0.0246705853872803,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Congo, Rep.",COG,0.154572154583901,0.1822061271327,0.11355038728221,0.123567157169463,0.131553563949389,0.13704579529255,0.16129910389255,0.179753814805936,0.195819409556535,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Costa Rica,CRI,0.0829694156195169,0.0885451826037636,0.0783315990845524,0.0727310780050134,0.074157791329211,0.0726608720021531,0.0707488110417331,0.0673008035329989,0.0615660858688283,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cote d'Ivoire,CIV,0.0422299778323445,0.0757808220176118,0.0764052388454201,0.0759951631581911,0.0693745239219652,0.0711205828162389,0.0654656979557164,0.065218214242945,0.0650996482468742,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Croatia,HRV,0.181931462409369,0.18953117052927,0.136065227572866,0.135673081399317,0.133060634888461,0.132780160174278,0.121715840600262,0.118308633559113,0.122311814053204,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cyprus,CYP,0.280931309295039,0.279118212468578,0.215255435394739,0.209364595727541,0.206981602425487,0.199608383780882,0.184764401870343,0.174885480185012,0.170564052731521,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Czechia,CZE,0.52880442277826,0.409746472565985,0.232414117547703,0.2231937024458,0.221609257324262,0.211846934720267,0.203621551133106,0.18797365662553,0.180847289066211,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Denmark,DNK,0.217998739901095,0.169501691020723,0.102618357624985,0.0943487417755135,0.0958164878241694,0.0875011613134141,0.085663172344982,0.0756478438289833,0.0714185602721318,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Djibouti,DJI,..,..,0.0857842793871096,0.0885837782709634,0.0732340699632086,0.0708362583130982,0.0695357112859524,0.0680054812720469,0.0670325781045328,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Dominica,DMA,0.0865119172352146,0.141409585760183,0.156128327522027,0.161315301562449,0.1583654187555,0.153886056951111,0.148344626989928,0.148093178959678,0.166052735677846,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Dominican Republic,DOM,0.150923977403464,0.20086636752153,0.1236473593841,0.127172457670092,0.12430194802095,0.113727090593216,0.114495436767217,0.11074731714969,0.105396076184568,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Ecuador,ECU,0.161928082681067,0.189474787690163,0.185574223702032,0.18353038342697,0.17766421579358,0.162419959221898,0.167929594469503,0.164980558573865,0.157933002461285,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Egypt, Arab Rep.",EGY,0.187666764743784,0.15711576399947,0.171031750634461,0.169223836222376,0.168726783684135,0.168225305590761,0.155428197227092,0.134831323560271,0.125932711239076,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,El Salvador,SLV,0.0738575879772185,0.125578212361221,0.113169500761472,0.117313551231104,0.116493230798818,0.101456833534471,0.106873713164699,0.120606201812679,0.105516778434205,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Equatorial Guinea,GNQ,0.130698523864981,0.239529274531535,0.133731245660929,0.135941707683434,0.158200411270137,0.154450020096348,0.155494897970619,0.158281295309137,0.148310849479319,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Estonia,EST,1.14138800976179,0.517334269183066,0.377395163694719,0.302765865459548,0.324740680820665,0.32367833949761,0.292230532090661,0.179809611086282,0.128086813768994,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Eswatini,SWZ,0.233930467766286,0.173159545163786,0.0970222880197796,0.0986466814222088,0.10722725868934,0.104136810745875,0.101715875768651,0.104755071947017,0.104431143418179,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Ethiopia,ETH,0.0555090567323544,0.0651208070271326,0.0678189953779013,0.0641691697468988,0.0685297165840117,0.0651532879644258,0.0653968965977776,0.0627577606323376,0.0604754080097731,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Fiji,FJI,0.113447761446,0.105542116212377,0.113810130656805,0.113412892248872,0.10499408142434,0.11067583790937,0.11110463780783,0.11226090159874,0.0998457843024944,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Finland,FIN,0.279457392374359,0.224457758094213,0.158090148477219,0.145837204820308,0.151406967117822,0.13810297082643,0.140927668949707,0.128533933981606,0.116676836754979,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,France,FRA,0.151413787882321,0.128741098592291,0.0895473887793599,0.0900545047712227,0.0898400876511997,0.0889150958277367,0.0843275357542814,0.0810786419565221,0.0779442456888066,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Gabon,GAB,0.16778788229172,0.211088092381015,0.144852504708796,0.143039614271526,0.146246737327392,0.121867871853742,0.11578329878669,0.114767998697627,0.118572476981286,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Gambia, The",GMB,0.0694907362525704,0.0632801435074088,0.094981089151829,0.10552327335015,0.104801369255479,0.101513477019028,0.093957323960935,0.089800173162716,0.089934068670727,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Georgia,GEO,0.539891029392121,0.205147426469558,0.160736456572431,0.168920690934938,0.170482447363817,0.163661938329386,0.151474568411631,0.155925094899505,0.161745399581187,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Germany,DEU,0.282500569189817,0.202809698930362,0.15409121833327,0.153126211738193,0.150761158486403,0.143889356708538,0.137736188519113,0.126821647036798,0.120788470016123,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Ghana,GHA,0.0586903030763616,0.0757505024867842,0.0848314542213912,0.0889985482637775,0.0874444563008922,0.0841492519511683,0.0878219224735065,0.0886699686089723,0.0948774670207731,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Greece,GRC,0.274296980169546,0.269270495365726,0.203698081071033,0.199583395486923,0.197134941599629,0.194850295170161,0.186561803744278,0.168951488833399,0.15839494522935,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Grenada,GRD,0.129311212030674,0.158894138120715,0.155358297796084,0.156948137127006,0.153954428125245,0.152778492700816,0.163095224934622,0.17509881675665,0.190302761969135,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Guatemala,GTM,0.0576109972380792,0.0924374901491955,0.084943263378275,0.095929242263359,0.0990821734591609,0.0910446656925218,0.0962774862200335,0.0973827020192464,0.0879357646416224,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Guinea,GIN,0.0737464080355505,0.075212916880029,0.0684367011410365,0.0746987668666104,0.0749999779008413,0.0804762789298182,0.0850822547938076,0.0974237852665671,0.0932847056879082,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Guinea-Bissau,GNB,0.0983952487211645,0.0661279714244754,0.077011284103377,0.0775977514647592,0.0797256969576541,0.0764812494918635,0.0764012861649943,0.0748366198418518,0.0745692810364339,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Guyana,GUY,0.307831799790432,0.270377016900157,0.227310986908696,0.227568933163758,0.261241489223141,0.251348968942167,0.251683694057312,0.2581768217744,0.178176256521795,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Haiti,HTI,0.0377232930768659,0.0544853699773817,0.0850681270299379,0.091094082022341,0.091766209960933,0.0885000056040589,0.0860929955422523,0.0883374313632269,0.0883747431373465,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Honduras,HND,0.111284863439489,0.165554831163457,0.191157476370465,0.196270749294339,0.186343793641393,0.16033480434948,0.148706033686638,0.163700016006896,0.155818876698466,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Hungary,HUN,0.303009617540037,0.239614377641456,0.13517412582697,0.139193596247188,0.138909222737529,0.148877972416092,0.140595417231853,0.12878443224022,0.127723595814128,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Iceland,ISL,0.189613578642187,0.164891942683969,0.107267998274962,0.103212695487935,0.0770603776243739,0.0756788863038758,0.0733732369020292,0.0694425801412807,0.0658940883979018,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,India,IND,0.295737491492218,0.286016631163833,0.269113618674406,0.25045482730734,0.235344354529514,0.23176868564209,0.231803076059726,0.220056401427817,0.212052917398521,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Indonesia,IDN,0.165681268926283,0.214446779993644,0.17821920334034,0.171479991216252,0.161568947279987,0.16375500784911,0.171592519362781,0.174116153878254,0.165424492373509,..,..,..
